State,Covid Cases
Aguascalientes,7753
Baja California,22137
Baja California Sur,10925
Campeche,6235
Chiapas,8079
Chihuahua,12753
Ciudad de Mexico,138329
Coahuila,28317
Colima,5671
Durango,9844
Estado de Mexico,88619
Guanajuato,43054
Guerrero,20295
Hidalgo,13844
Jalisco,29252
Michoacan,21927
Morelos,6283
Nayarit,6247
Nuevo Leon,43667
Oaxaca,18694
Puebla,32922
Queretaro,10086
Quintana Roo,12590
San Luis Potosi,24279
Sinaloa,19791
Sonora,35177
Tabasco,32868
Tamaulipas,30066
Tlaxcala,7820
Veracruz,34679
Yucatan,19426
Zacatecas,8122
