State,Crimes
Aguascalientes,12400
Baja California,38801
Baja California Sur,7356
Campeche,827
Chiapas,6482
Chihuahua,25089
Ciudad de México,72500
Coahuila,19368
Colima,7881
Durango,9696
México,147717
Guanajuato,54610
Guerrero,9692
Hidalgo,15484
Jalisco,44860
Michoacán,20195
Morelos,14566
Nayarit,1220
Nuevo León,25930
Oaxaca,15474
Puebla,20145
Querétaro,24457
Quintana Roo,15369
San Luis Potosí,15504
Sinaloa,9194
Sonora,12693
Tabasco,15546
Tamaulipas,11018
Tlaxcala,1055
Veracruz,26453
Yucatán,1207
Zacatecas,9806
