State,Number of Tourists
Aguascalientes,856960
Baja California,3958843
Baja California Sur,3445908
Campeche,1578131
Chiapas,4376440
Chihuahua,5228183
Coahuila,1956640
Colima,1450627
Ciudad de Mexico,11331505
Durango,829529
Guanajuato,5026515
Guerrero,9065181
Hidalgo,2925426
Jalisco,9499223
Estado de Mexico,3127227
Michoacan,3005225
Morelos,1659199
Nayarit,3073656
Nuevo Leon,3222964
Oaxaca,3666038
Puebla,6608202
Queretaro,2520716
Quintana Roo,16675407
San Luis Potosi,2132770
Sinaloa,5271130
Sonora,2671758
Tabasco,1408949
Tamaulipas,3743766
Tlaxcala,458161
Veracruz,5332441
Yucatan,2617911
Zacatecas,1325235
,
,
,
